11.200000 726.1228 866.6624 871.0208 843.1982
11.300000 749.5790 894.9669 899.4723 871.0222
11.400000 773.5520 923.9004 928.5561 899.4737
11.500000 798.0455 953.4674 958.2768 928.5575
11.600000 823.0631 983.6725 988.6388 958.2783
11.700000 848.6083 1014.5196 1019.6463 988.6403
11.800000 874.6842 1046.0127 1051.3032 1019.6479
11.900000 901.2940 1078.1556 1083.6133 1051.3048
12.000000 928.4404 1110.9516 1116.5800 1083.6149
12.100000 956.1262 1144.4041 1150.2065 1116.5817
12.200000 984.3540 1178.5160 1184.4961 1150.2083
12.300000 1013.1259 1213.2902 1219.4513 1184.4979
12.400000 1042.4442 1248.7292 1255.0749 1219.4532
12.500000 1072.3107 1284.8353 1291.3690 1255.0768
12.600000 1102.7272 1321.6106 1328.3359 1291.3710
12.700000 1133.6953 1359.0569 1365.9774 1328.3380
12.800000 1165.2163 1397.1759 1404.2950 1365.9794
12.900000 1197.2913 1435.9688 1443.2901 1404.2971
13.000000 1229.9212 1475.4368 1482.9638 1443.2923
13.100000 1263.1070 1515.5807 1523.3170 1482.9660
13.200000 1296.8490 1556.4012 1564.3503 1523.3193
13.300000 1331.1477 1597.8986 1606.0641 1564.3527
13.400000 1366.0033 1640.0730 1648.4585 1606.0665
13.500000 1401.4156 1682.9244 1691.5333 1648.4610
13.600000 1437.3844 1726.4524 1735.2884 1691.5359
13.700000 1473.9094 1770.6563 1779.7229 1735.2910
13.800000 1510.9897 1815.5354 1824.8361 1779.7256
13.900000 1548.6248 1861.0885 1870.6268 1824.8388
14.000000 1586.8134 1907.3143 1917.0937 1870.6296
14.100000 1625.5544 1954.2112 1964.2353 1917.0967
14.200000 1664.8463 2001.7774 2012.0497 1964.2383
14.300000 1704.6876 2050.0109 2060.5349 2012.0528
14.400000 1745.0763 2098.9093 2109.6885 2060.5380
14.500000 1786.0106 2148.4703 2159.5081 2109.6917
14.600000 1827.4883 2198.6909 2209.9908 2159.5114
14.700000 1869.5069 2249.5683 2261.1337 2209.9942
14.800000 1912.0639 2301.0992 2312.9335 2261.1371
14.900000 1955.1566 2353.2803 2365.3869 2312.9370
15.000000 1998.7821 2406.1078 2418.4901 2365.3905
15.100000 2042.9371 2459.5780 2472.2393 2418.4938
15.200000 2087.6186 2513.6867 2526.6303 2472.2430
15.300000 2132.8230 2568.4296 2581.6589 2526.6342
15.400000 2178.5467 2623.8023 2637.3205 2581.6628
15.500000 2224.7859 2679.8000 2693.6105 2637.3246
15.600000 2271.5367 2736.4179 2750.5238 2693.6146
15.700000 2318.7949 2793.6508 2808.0554 2750.5280
15.800000 2366.5563 2851.4935 2866.1999 2808.0597
15.900000 2414.8165 2909.9405 2924.9518 2866.2043
16.000000 2463.5708 2968.9860 2984.3055 2924.9563
16.100000 2512.8145 3028.6244 3044.2550 2984.3100
16.200000 2562.5428 3088.8494 3104.7943 3044.2596
16.300000 2612.7506 3149.6550 3165.9171 3104.7990
16.400000 2663.4327 3211.0347 3227.6170 3165.9219
16.500000 2714.5839 3272.9821 3289.8876 3227.6220
16.600000 2766.1987 3335.4904 3352.7219 3289.8926
16.700000 2818.2716 3398.5528 3416.1133 3352.7271
16.800000 2870.7968 3462.1622 3480.0545 3416.1185
16.900000 2923.7687 3526.3115 3544.5384 3480.0598
17.000000 2977.1811 3590.9935 3609.5578 3544.5439
17.100000 3031.0281 3656.2007 3675.1050 3609.5633
17.200000 3085.3036 3721.9255 3741.1726 3675.1107
17.300000 3140.0012 3788.1602 3807.7528 3741.1783
17.400000 3195.1146 3854.8971 3874.8376 3807.7586
17.500000 3250.6374 3922.1281 3942.4192 3874.8435
17.600000 3306.5629 3989.8453 4010.4895 3942.4253
17.700000 3362.8846 4058.0405 4079.0402 4010.4956
17.800000 3419.5957 4126.7053 4148.0631 4079.0465
17.900000 3476.6893 4195.8315 4217.5497 4148.0694
18.000000 3534.1586 4265.4106 4287.4915 4217.5561
18.100000 3591.9965 4335.4341 4357.8799 4287.4980
18.200000 3650.1961 4405.8932 4428.7063 4357.8866
18.300000 3708.7502 4476.7793 4499.9619 4428.7131
18.400000 3767.6517 4548.0836 4571.6378 4499.9688
18.500000 3826.8931 4619.7972 4643.7252 4571.6448
18.600000 3886.4674 4691.9113 4716.2150 4643.7323
18.700000 3946.3671 4764.4167 4789.0982 4716.2222
18.800000 4006.5847 4837.3044 4862.3658 4789.1056
18.900000 4067.1129 4910.5654 4936.0085 4862.3732
19.000000 4127.9442 4984.1904 5010.0171 4936.0160
19.100000 4189.0709 5058.1703 5084.3824 5010.0247
19.200000 4250.4856 5132.4959 5159.0952 5084.3902
19.300000 4312.1806 5207.1578 5234.1460 5159.1030
19.400000 4374.1484 5282.1467 5309.5255 5234.1540
19.500000 4436.3812 5357.4534 5385.2244 5309.5336
19.600000 4498.8713 5433.0684 5461.2332 5385.2326
19.700000 4561.6112 5508.9824 5537.5426 5461.2416
19.800000 4624.5930 5585.1859 5614.1429 5537.5510
19.900000 4687.8091 5661.6696 5691.0249 5614.1515
20.000000 4751.2517 5738.4241 5768.1791 5691.0336
20.100000 4814.9131 5815.4400 5845.5959 5768.1879
20.200000 4878.7855 5892.7078 5923.2660 5845.6048
20.300000 4942.8613 5970.2181 6001.1798 5923.2750
20.400000 5007.1327 6047.9615 6079.3280 6001.1890
20.500000 5071.5920 6125.9287 6157.7010 6079.3373
20.600000 5136.2314 6204.1103 6236.2895 6157.7104
20.700000 5201.0433 6282.4969 6315.0841 6236.2990
20.800000 5266.0201 6361.0791 6394.0753 6315.0937
20.900000 5331.1540 6439.8478 6473.2539 6394.0851
21.000000 5396.4374 6518.7936 6552.6106 6473.2638
21.100000 5461.8627 6597.9072 6632.1359 6552.6206
21.200000 5527.4223 6677.1796 6711.8207 6632.1460
21.300000 5593.1087 6756.6014 6791.6557 6711.8309
21.400000 5658.9144 6836.1636 6871.6319 6791.6661
21.500000 5724.8317 6915.8570 6951.7400 6871.6424
